campaign_type,roi
Search,5.35
Influencer,6.44
Search,2.23
Search,6.73
Display,3.16
Display,4.61
Display,6.14
Influencer,3.41
Email,4.48
Social Media,7.22
Search,6.62
Display,7.70
Search,7.28
Social Media,7.42
Influencer,7.02
Display,6.06
Influencer,2.15
Search,6.83
Influencer,2.99
Search,3.57
Email,5.37
Display,6.55
Email,2.13
Display,4.93
Search,7.64
Social Media,5.69
Search,4.69
Social Media,5.11
Search,4.07
Display,7.01
Email,4.08
Social Media,4.32
Influencer,5.54
Social Media,6.04
Social Media,6.51
Display,6.83
Influencer,2.16
Search,4.26
Search,7.69
Display,6.66
Influencer,7.50
Influencer,2.83
Email,7.53
Display,7.92
Search,2.86
Search,6.82
Email,2.28
Social Media,3.56
Social Media,3.75
Social Media,2.37
Influencer,3.73
Social Media,3.31
Social Media,6.41
Social Media,7.47
Email,6.48
Display,5.15
Email,6.62
Email,4.73
Email,5.47
Display,6.02
Email,7.74
Email,6.38
Search,2.44
Social Media,2.42
Social Media,7.36
Email,4.53
Search,5.83
Search,2.16
Display,3.55
Display,6.45
Search,2.04
Social Media,3.34
Search,2.18
Social Media,5.58
Email,3.18
Influencer,3.48
Social Media,4.57
Email,6.34
Search,5.95
Email,2.15
Display,6.76
Display,5.06
Display,4.80
Influencer,2.05
Display,3.93
Display,7.69
Email,5.65
Social Media,3.22
Email,2.86
Email,2.56
Social Media,3.29
Display,4.82
Display,4.86
Email,3.73
Display,6.02
Influencer,4.10
Influencer,6.41
Display,5.58
Email,7.34
Influencer,5.08
Display,6.84
Email,6.64
Social Media,2.46
Influencer,2.20
Influencer,7.98
Social Media,6.16
Social Media,4.28
Influencer,6.23
Social Media,4.15
Social Media,2.86
Email,3.75
Display,4.87
Email,2.64
Social Media,3.48
Display,4.43
Email,7.42
Search,7.50
Email,4.82
Email,4.64
Display,5.70
Display,7.13
Influencer,7.87
Influencer,6.62
Email,3.07
Email,5.73
Email,6.41
Search,2.34
Display,7.22
Search,2.85
Social Media,7.62
Email,5.63
Display,6.74
Display,5.14
Influencer,3.90
Influencer,7.39
Email,4.13
Email,7.88
Search,3.02
Social Media,5.37
Email,3.17
Display,4.55
Email,4.46
Display,5.02
Influencer,2.11
Search,3.27
Email,5.63
Social Media,3.89
Search,2.22
Social Media,4.15
Social Media,5.76
Influencer,4.47
Social Media,6.16
Search,6.17
Email,3.56
Social Media,4.26
Search,5.09
Search,7.53
Influencer,2.46
Search,2.81
Email,4.72
Search,3.93
Search,7.29
Display,7.16
Display,7.83
Display,3.59
Display,7.65
Social Media,4.27
Social Media,3.96
Display,4.64
Influencer,2.24
Search,4.94
Email,6.27
Social Media,2.93
Influencer,7.43
Search,4.68
Influencer,3.14
Influencer,6.75
Social Media,4.38
Social Media,5.57
Display,2.69
Display,4.18
Influencer,7.22
Influencer,2.22
Search,7.69
Display,5.10
Social Media,3.69
Influencer,5.13
Social Media,7.01
Email,7.62
Email,5.56
Social Media,7.64
Email,7.01
Email,5.21
Influencer,3.24
Influencer,5.45
Search,4.30
Social Media,4.92
Search,7.79
Email,4.81
Display,3.55
Email,3.60
Social Media,4.54
Social Media,7.53
Search,3.36
Search,2.41
Influencer,3.73
Influencer,3.63
Influencer,3.19
Email,3.81
Search,2.68
Email,2.50
Email,6.50
Influencer,6.45
Search,6.10
Search,7.93
Display,5.23
Display,2.07
Search,3.92
Influencer,6.76
Email,6.34
Social Media,7.85
Search,3.83
Search,3.58
Display,2.14
Search,3.32
Search,6.00
Influencer,7.60
Email,2.41
Social Media,2.16
Display,6.86
Influencer,6.91
Display,2.75
Social Media,5.62
Influencer,4.48
Influencer,4.07
Display,4.08
Social Media,5.77
Email,5.77
Social Media,2.37
Social Media,7.05
Influencer,2.05
Email,6.12
Influencer,4.86
Display,5.65
Email,6.61
Influencer,5.49
Display,2.91
Influencer,3.44
Influencer,2.24
Influencer,6.66
Social Media,6.57
Email,3.60
Social Media,5.63
Influencer,6.09
Search,6.86
Display,4.83
Search,4.05
Search,2.41
Social Media,6.33
Search,5.09
Social Media,4.43
Search,7.36
Influencer,3.61
Search,5.17
Social Media,5.88
Influencer,3.53
Search,2.60
Social Media,4.99
Influencer,3.97
Email,5.74
Influencer,2.24
Influencer,4.74
Search,5.58
Email,3.43
Display,5.30
Influencer,7.39
Email,7.82
Search,4.40
Search,2.73
Display,7.41
Search,4.79
Influencer,7.74
Social Media,3.55
Email,5.97
Influencer,2.93
Social Media,3.97
Influencer,2.13
Social Media,3.79
Social Media,3.38
Display,6.34
Social Media,7.02
Email,3.28
Display,4.53
Social Media,4.67
Influencer,2.07
Social Media,2.93
Social Media,5.07
Email,3.89
Social Media,6.09
Influencer,5.75
Search,3.96
Search,2.27
Display,5.90
Email,7.48
Influencer,3.24
Email,4.84
Influencer,5.21
Influencer,4.09
Social Media,7.73
Social Media,5.62
Search,3.17
Social Media,6.30
Email,3.19
Social Media,2.27
Email,6.01
Email,7.04
Search,2.44
Display,6.91
Display,6.79
Social Media,6.12
Email,2.29
Social Media,4.57
Email,4.08
Influencer,7.47
Influencer,5.29
Search,7.24
Email,3.77
Display,5.18
Influencer,5.66
Social Media,3.19
Influencer,3.89
Social Media,2.27
Social Media,7.01
Email,7.60
Display,5.28
Influencer,3.25
Display,2.29
Social Media,3.40
Display,6.75
Email,2.41
Search,7.27
Display,4.63
Display,4.36
Email,3.57
Social Media,5.07
Search,4.36
Search,2.25
Social Media,3.95
Search,7.19
Search,5.44
Social Media,5.94
Search,4.43
Search,7.66
Social Media,4.60
Social Media,3.46
Email,5.37
Influencer,6.96
Social Media,3.62
Email,3.58
Display,3.91
Display,7.53
Influencer,6.77
Email,2.12
Display,7.83
Search,7.18
Display,3.96
Search,4.37
Social Media,4.09
Email,5.21
Display,2.19
Display,7.51
Search,6.23
Display,7.08
Social Media,3.93
Social Media,5.80
Social Media,6.24
Email,5.11
Influencer,7.38
Social Media,5.87
Display,5.89
Email,4.74
Display,3.87
Social Media,4.04
Social Media,7.68
Search,7.39
Search,2.64
Email,6.29
Email,6.45
Email,2.16
Display,7.60
Social Media,7.46
Influencer,4.87
Influencer,6.78
Email,3.05
Email,2.39
Influencer,7.64
Influencer,4.71
Display,2.86
Social Media,5.94
Display,2.34
Search,2.88
Display,6.43
Influencer,3.72
Search,5.82
Influencer,6.79
Social Media,2.14
Social Media,3.14
Influencer,6.90
Search,3.87
Email,4.57
Influencer,7.29
Search,2.71
Email,6.38
Search,5.78
Search,3.95
Search,6.29
Email,5.78
Social Media,2.40
Display,2.90
Social Media,7.86
Social Media,3.48
Email,5.95
Search,6.84
Email,5.80
Display,2.25
Social Media,3.93
Email,4.10
Social Media,2.75
Influencer,5.87
Email,4.75
Social Media,2.23
Influencer,2.38
Search,7.64
Email,4.51
Influencer,7.31
Influencer,6.56
Search,3.25
Search,4.25
Display,5.96
Search,5.21
Display,2.27
Display,3.97
Display,3.41
Email,4.07
Email,3.91
Email,7.14
Email,2.80
Display,3.81
Email,6.66
Social Media,6.65
Search,6.11
Email,7.89
Influencer,3.30
Search,5.42
Influencer,5.84
Influencer,5.54
Search,6.06
Social Media,2.50
Influencer,4.49
Influencer,3.04
Influencer,4.97
Influencer,3.81
Search,4.78
Influencer,4.21
Social Media,7.23
Search,7.74
Email,7.56
Email,3.48
Social Media,5.96
Social Media,3.49
Search,3.02
Influencer,5.06
Influencer,2.54
Influencer,5.99
Email,6.23
Influencer,6.58
Social Media,4.78
Email,4.86
Social Media,3.92
Display,5.62
Email,6.58
Social Media,6.12
Search,3.06
Influencer,4.00
Email,3.13
Influencer,7.18
Social Media,3.07
Display,4.67
Social Media,3.83
Search,7.28
Search,6.10
Display,3.20
Email,6.05
Email,7.46
Search,4.18
Influencer,7.53
Display,6.46
Influencer,6.34
Social Media,5.92
Email,4.31
Email,5.11
Influencer,2.10
Influencer,4.59
Search,4.02
Display,4.68
Email,5.41
Social Media,3.19
Social Media,3.57
Email,7.94
Search,4.56
Social Media,7.31
Search,4.52
Search,3.21
Display,6.92
Social Media,6.67
Search,5.90
Search,2.04
Influencer,7.70
Email,5.44
Search,7.34
Influencer,7.96
Social Media,7.04
Search,7.31
Influencer,2.91
Influencer,6.60
Email,7.35
Influencer,3.00
Social Media,7.81
Social Media,6.55
Search,7.18
Social Media,4.77
Email,3.43
Search,2.71
Social Media,4.63
Search,3.61
Influencer,7.47
Search,4.11
Display,7.82
Social Media,7.85
Email,6.28
Display,3.13
Social Media,5.48
Display,4.11
Email,2.15
Social Media,4.68
Display,6.36
Email,4.52
Influencer,7.50
Search,6.22
Email,7.93
Search,3.34
Influencer,4.67
Social Media,5.42
Search,5.54
Email,5.22
Search,4.25
Display,7.92
Email,7.55
Influencer,4.61
Influencer,3.28
Display,5.70
Email,6.89
Email,7.69
Email,4.18
Search,3.78
Influencer,6.63
Social Media,2.05
Display,7.45
Search,4.95
Email,3.48
Email,4.47
Email,6.52
Social Media,5.13
Social Media,6.72
Influencer,3.43
Influencer,4.56
Display,3.94
Email,5.51
Influencer,7.92
Social Media,3.38
Influencer,5.78
Social Media,7.68
Social Media,6.89
Display,6.82
Social Media,3.36
Influencer,4.69
Email,6.15
Display,4.52
Influencer,4.91
Search,4.59
Display,7.63
Social Media,3.77
Display,4.58
Email,6.08
Email,6.53
Display,4.36
Influencer,2.86
Search,6.26
Email,5.12
Search,5.24
Display,7.35
Social Media,7.75
Influencer,5.47
Email,2.61
Search,6.12
Display,4.13
Display,6.50
Search,7.16
Display,5.25
Influencer,6.78
Influencer,2.10
Email,6.77
Influencer,2.87
Influencer,5.99
Social Media,6.00
Influencer,7.91
Display,6.97
Email,3.38
Search,3.18
Search,4.08
Influencer,2.28
Social Media,4.89
Search,2.86
Display,2.80
Email,4.45
Search,7.08
Search,7.45
Display,3.87
Email,5.76
Display,6.27
Email,7.21
Influencer,5.02
Influencer,3.20
Email,6.76
Search,6.24
Display,5.26
Influencer,7.65
Search,2.95
Display,3.08
Search,6.32
Search,7.97
Influencer,4.12
Social Media,7.21
Email,3.50
Search,3.30
Search,5.95
Social Media,4.72
Email,5.98
Display,7.67
Email,7.59
Email,4.92
Social Media,2.41
Search,7.18
Display,6.00
Social Media,3.39
Display,3.39
Influencer,4.57
Display,2.88
Display,6.72
Influencer,3.03
Social Media,7.88
Email,4.37
Display,2.71
Social Media,3.96
Social Media,3.04
Influencer,2.20
Display,7.35
Social Media,5.31
Influencer,4.21
Influencer,6.46
Display,7.75
Influencer,2.36
Influencer,7.39
Search,5.48
Influencer,5.45
Influencer,4.26
Influencer,6.53
Social Media,5.02
Influencer,2.48
Display,2.49
Display,6.09
Social Media,6.85
Social Media,7.90
Social Media,2.86
Search,2.08
Search,2.20
Social Media,2.02
Social Media,7.02
Email,2.56
Search,2.36
Display,2.56
Social Media,3.16
Influencer,3.84
Social Media,6.52
Email,7.44
Influencer,4.50
Search,4.62
Social Media,7.48
Search,7.82
Search,6.98
Email,6.83
Search,6.09
Social Media,7.56
Influencer,7.97
Email,5.97
Email,2.13
Influencer,4.25
Influencer,2.82
Influencer,4.33
Display,4.58
Search,7.46
Social Media,2.25
Search,7.27
Email,7.27
Influencer,3.35
Search,2.07
Search,5.82
Influencer,7.93
Email,4.00
Email,3.10
Display,3.74
Display,3.57
Display,6.71
Social Media,4.45
Email,5.75
Search,3.17
Search,7.09
Search,5.29
Influencer,6.94
Influencer,7.75
Display,2.24
Influencer,7.65
Search,6.83
Email,6.02
Search,7.32
Search,4.88
Email,3.08
Search,3.93
Display,6.61
Social Media,4.95
Social Media,4.59
Social Media,2.99
Display,3.90
Social Media,5.55
Search,4.95
Influencer,6.79
Email,2.50
Social Media,7.67
Display,7.33
Email,7.77
Display,5.35
Search,7.55
Influencer,5.26
Email,7.58
Search,4.81
Display,2.77
Search,5.74
Search,5.90
Email,4.44
Email,3.66
Influencer,6.12
Social Media,2.16
Display,4.48
Display,4.80
Influencer,2.61
Display,7.47
Social Media,2.13
Social Media,7.77
Search,7.25
Search,5.75
Email,2.41
Email,2.06
Influencer,2.02
Influencer,5.62
Email,6.56
Email,4.11
Email,2.25
Search,7.99
Influencer,7.73
Influencer,7.54
Influencer,4.18
Social Media,6.40
Display,7.26
Social Media,5.05
Search,6.90
Display,7.95
Search,7.84
Search,6.55
Email,2.09
Display,3.43
Email,4.65
Display,5.58
Influencer,6.40
Search,4.85
Influencer,4.35
Display,6.22
Search,5.72
Influencer,7.81
Display,3.99
Display,5.01
Social Media,4.48
Email,3.45
Email,2.88
Display,7.45
Email,6.37
Email,7.37
Display,4.49
Social Media,2.50
Search,3.98
Display,4.80
Search,6.18
Search,5.64
Email,5.27
Search,5.02
Display,4.23
Email,6.20
Display,3.43
Email,4.93
Search,7.44
Display,5.00
Social Media,6.13
Display,5.09
Social Media,6.53
Display,3.54
Search,6.84
Influencer,4.35
Email,5.73
Email,3.86
Email,5.24
Display,7.57
Influencer,4.43
Email,7.97
Display,5.72
Influencer,5.44
Email,7.87
Display,4.07
Email,7.62
Influencer,4.60
Search,4.51
Display,3.98
Social Media,6.07
Email,2.29
Influencer,6.80
Display,2.70
Social Media,4.66
Social Media,5.16
Influencer,7.35
Search,3.37
Influencer,2.61
Email,7.05
Social Media,2.02
Influencer,2.06
Influencer,3.30
Influencer,7.55
Search,3.69
Influencer,3.99
Display,7.13
Email,2.90
Email,3.78
Search,5.76
Search,5.40
Search,3.65
Search,2.90
Influencer,7.17
Display,3.84
Search,2.74
Search,5.23
Search,2.12
Search,5.60
Search,6.71
Influencer,5.38
Display,2.64
Social Media,2.45
Social Media,4.94
Email,7.20
Social Media,4.88
Influencer,3.24
Social Media,6.31
Email,5.91
Display,4.98
Search,4.14
Display,7.12
Email,7.48
Display,7.06
Display,5.12
Search,3.82
Display,4.71
Display,3.38
Email,7.06
Social Media,6.12
Influencer,4.93
Display,7.62
Social Media,2.92
Display,5.42
Search,2.26
Email,4.41
Social Media,4.50
Search,7.38
Email,7.97
Influencer,6.47
Social Media,6.33
Search,4.74
Influencer,3.58
Email,2.05
Search,6.68
Email,3.44
Influencer,3.61
Display,3.39
Email,2.32
Search,3.98
Influencer,7.51
Social Media,2.42
Display,7.64
Email,7.57
Social Media,4.74
Influencer,2.78
Display,7.34
Email,5.74
Search,4.29
Email,5.35
Display,2.59
Email,7.22
Display,2.09
Social Media,6.63
Display,6.46
Search,3.92
Display,4.52
Search,2.78
Display,4.79
Display,7.48
Search,2.78
Search,6.57
Search,3.47
Display,5.09
Display,4.13
Email,4.25
Display,4.67
Social Media,7.35
Email,2.44
Social Media,3.16
Display,7.74
Influencer,3.34
Influencer,4.04
Email,2.89
Search,4.03
Influencer,7.76
Influencer,3.88
Display,6.19
Influencer,7.64
Search,7.97
Email,7.85
Search,3.33
Display,3.12
Influencer,4.24
Influencer,6.37
Email,3.55
Search,5.70
Display,3.09
Search,4.80
Social Media,3.21
Social Media,7.16
Influencer,7.96
Display,5.79
Search,2.75
Display,7.89
Social Media,2.18
Email,4.57
Social Media,4.61
Influencer,4.50
Display,4.83
Social Media,5.39
Influencer,2.64
Display,4.98
Email,6.93
Display,5.56
Email,5.74
Email,7.60
Display,3.36
Influencer,3.22
Social Media,5.18
Email,2.72
Display,4.12
Social Media,7.24
Search,7.86
Influencer,2.63
Social Media,2.44
Influencer,6.81
Influencer,2.71
Search,3.35
Influencer,4.96
Influencer,3.13
Display,2.92
Email,5.89
Display,6.81
Display,7.40
Display,3.67
Display,2.51
Display,5.65
Email,7.21
Social Media,2.97
Display,3.73
Email,7.98
Search,3.83
Search,5.24
Influencer,5.73
Search,4.14
Display,5.99
Display,7.92
Display,6.91
Social Media,4.26
Email,4.37
Email,5.12
Display,5.24
Display,2.54
Email,2.91
Display,5.23
Search,4.91
Display,3.51
Search,4.07
Display,7.36
Social Media,6.55
Display,6.31
Influencer,2.23
Display,6.16
Influencer,3.94
Email,5.24
Email,3.04
Display,3.53
Social Media,7.13
Influencer,5.75
Email,6.42
Email,5.08
Influencer,4.74
Influencer,7.80
Search,5.95
Influencer,3.64
Influencer,3.74
Display,4.31
Social Media,5.82
Influencer,5.41
Social Media,4.71
Email,3.95
Search,7.46
Search,6.04
Display,7.13
Search,3.59
Email,4.29
Search,5.81
Influencer,6.25
Search,3.87
Email,3.82
Influencer,5.23
Influencer,6.40
Email,4.74
Email,2.39
Search,6.22
Influencer,7.86
Search,7.95
Display,2.74
Email,3.43
Display,4.51
Search,7.84
Influencer,6.09
Display,5.90
Social Media,5.98
Email,6.60
Social Media,5.76
Influencer,6.75
Email,2.96
Display,2.45
Display,6.58
Display,2.29
Social Media,5.63
Display,4.38
Influencer,7.82
Search,7.04
Display,6.07
Influencer,3.45
Social Media,7.85
Influencer,4.75
Social Media,3.07
Display,4.70
Search,3.85
Influencer,5.76
Search,6.02
Influencer,6.99
Email,5.80
Email,4.87
Email,4.17
Search,2.46
Influencer,3.38
Display,3.74
Email,5.97
Display,7.74
Email,2.27
Influencer,2.98
Search,5.74
Social Media,2.43
Social Media,6.72
Influencer,5.12
Display,2.65
Influencer,2.23
Display,7.57
Search,6.58
Social Media,6.20
Social Media,4.63
Influencer,7.06
Social Media,6.71
Display,3.52
Display,6.42
Display,7.39
Display,4.99
Social Media,3.14
Search,6.88
Influencer,4.62
Email,6.72
Display,5.72
Influencer,3.83
Display,4.37
Social Media,6.85
Search,5.32
Social Media,5.17
Search,6.95
Social Media,5.54
Display,4.47
Social Media,6.08
Display,7.65
Influencer,6.55
Email,6.06
Social Media,6.61
Influencer,7.77
Influencer,4.87
Influencer,2.23
Display,4.71
Social Media,3.97
Search,2.61
Social Media,5.93
Email,5.92
Influencer,2.37
Social Media,2.37
Influencer,7.64
Email,4.61
Display,3.25
Display,4.22
Influencer,3.24
Email,4.68
Influencer,7.32
Social Media,5.97
Email,6.49
Display,3.14
Social Media,4.72
Display,4.87
Display,3.61
Search,4.49
Email,7.70
Email,7.90
Display,7.53
Social Media,4.26
Social Media,6.74
Display,6.75
Search,4.03
Display,6.24
Email,3.78
Influencer,4.51
Social Media,5.84
Display,2.96
Display,4.95
Display,5.29
Search,5.17
Email,4.20
Search,5.37
Email,7.52
Influencer,2.83
Email,4.77
Email,7.50
Search,4.17
Email,6.14
Email,4.33
Influencer,3.24
Social Media,6.44
Display,6.66
Display,3.76
Social Media,5.37
Influencer,3.83
Email,5.84
Email,4.15
Display,4.73
Social Media,2.73
Display,7.49
Influencer,3.17
Search,2.50
Search,2.05
Display,4.26
Social Media,7.92
Influencer,7.28
Search,3.77
Influencer,7.31
Display,2.27
Influencer,2.14
Display,7.30
Influencer,4.23
Search,2.43
Email,4.12
Email,6.80
Social Media,3.50
Display,7.19
Search,7.60
Email,4.73
Social Media,5.84
Social Media,2.23
Display,7.29
Influencer,5.78
Search,7.23
Display,7.44
Influencer,5.60
Email,5.48
Display,4.15
Display,2.78
Search,2.13
Display,5.64
Social Media,3.74
Display,4.42
Search,5.04
Social Media,3.73
Display,7.23
Influencer,2.74
Email,7.26
Social Media,5.36
Search,4.54
Social Media,3.62
Social Media,2.79
Display,2.10
Influencer,6.88
Search,4.13
Display,4.11
Social Media,2.02
Display,7.55
Search,4.03
Email,4.29
Social Media,3.65
Social Media,6.91
Influencer,5.99
Influencer,2.70
Influencer,7.35
Social Media,5.29
Influencer,4.61
Influencer,2.12
Influencer,6.01
Display,5.65
Social Media,7.60
Search,3.82
Display,5.16
Influencer,2.04
Social Media,5.25
Display,6.17
Social Media,2.07
Display,3.63
Email,5.64
Search,2.67
Display,7.81
Email,4.38
Search,5.54
Display,7.04
Display,4.37
Email,4.95
Email,2.14
Influencer,6.32
Social Media,6.34
Influencer,7.49
Social Media,2.67
Display,5.37
Social Media,2.59
Display,4.28
Social Media,2.01
Social Media,6.44
Email,2.81
Email,7.56
Search,4.33
Social Media,4.45
Email,2.09
Email,2.88
Influencer,6.06
Influencer,5.95
Search,5.61
Email,5.63
Social Media,5.76
Display,3.04
Influencer,2.87
Search,4.75
Social Media,5.36
Email,5.15
Search,3.38
Display,2.39
Email,4.38
Influencer,6.22
Email,5.22
Search,4.97
Display,5.58
Email,4.28
Search,5.14
Influencer,5.89
Search,7.94
Influencer,5.21
Display,6.88
Social Media,2.63
Influencer,2.23
Email,2.57
Search,5.74
Display,6.01
Influencer,3.11
Search,3.01
Search,7.60
Search,5.68
Search,3.15
Search,7.32
Search,4.55
Social Media,7.61
Email,5.81
Social Media,4.06
Search,6.05
Social Media,2.74
Search,2.95
Search,4.54
Influencer,2.38
Email,4.80
Email,2.16
Search,4.11
Search,6.08
Social Media,3.92
Influencer,7.73
Search,7.54
Display,6.82
Display,7.48
Display,6.16
Display,6.89
Social Media,6.02
Influencer,3.33
Display,2.64
Display,5.65
Email,2.10
Search,3.68
Display,7.49
Email,2.43
Social Media,3.66
Email,7.92
Influencer,5.23
Display,4.84
Search,7.30
Influencer,7.79
Influencer,5.04
Influencer,6.58
Email,2.48
Search,7.59
Display,6.56
Email,6.44
Display,6.20
Social Media,6.48
Email,5.44
Social Media,5.36
Display,6.66
Display,3.00
Display,2.94
Email,7.76
Search,4.79
Influencer,2.79
Display,4.07
Email,4.10
Influencer,3.68
Display,4.38
Email,6.87
Social Media,6.34
Display,7.30
Display,5.12
Display,4.74
Search,3.73
Display,3.09
Social Media,3.93
Display,6.98
Email,6.87
Social Media,2.38
Search,4.11
Search,5.90
Search,5.28
Display,7.68
Search,7.30
Influencer,5.22
Social Media,5.50
Search,6.87
Display,3.14
Social Media,4.05
Email,5.43
Influencer,5.18
Search,3.12
Email,4.23
Email,5.90
Display,2.54
Influencer,4.49
Influencer,4.47
Influencer,7.03
Display,6.91
Email,2.41
Display,3.29
Display,4.47
Social Media,5.50
Email,2.75
Search,6.58
Search,6.03
Influencer,3.66
Search,6.98
Display,3.84
Search,6.13
Influencer,7.86
Display,7.86
Social Media,6.13
Display,3.60
Display,7.63
Search,4.55
Influencer,3.96
Social Media,2.56
Social Media,4.35
Social Media,5.46
Display,6.90
Email,5.70
Social Media,3.06
Email,3.73
Influencer,5.68
Social Media,3.68
Email,3.50
Email,5.70
Influencer,3.66
Email,7.32
Display,4.13
Search,5.10
Influencer,4.08
Social Media,5.56
Influencer,7.03
Email,7.76
Display,6.85
Social Media,3.75
Display,5.31
Influencer,2.74
Influencer,4.89
Display,7.64
Email,4.93
Social Media,6.90
Social Media,2.90
Social Media,6.89
Email,4.93
Social Media,2.41
Influencer,4.65
Email,4.64
Search,4.74
Social Media,7.17
Social Media,7.32
Influencer,7.02
Social Media,4.07
Search,6.25
Email,3.83
Influencer,5.89
Display,4.59
Display,7.57
Social Media,7.53
Influencer,7.81
Influencer,3.06
Email,3.00
Social Media,7.94
Email,4.08
Email,4.96
Search,7.00
Email,6.38
Social Media,3.73
Search,6.48
Influencer,5.59
Email,7.67
Influencer,4.65
Search,7.90
Display,2.62
Influencer,2.32
Search,4.37
Email,2.94
Email,2.99
Email,7.62
Display,4.83
Email,7.35
Email,2.17
Influencer,7.10
Email,5.20
Social Media,3.25
Search,4.67
Search,3.11
Social Media,4.08
Influencer,5.90
Display,4.54
Search,3.39
Social Media,4.82
Search,4.36
Email,4.68
Display,7.74
Social Media,2.95
Email,5.95
Email,7.39
Search,3.40
Search,2.72
Social Media,3.08
Search,4.70
Display,6.18
Display,2.56
Search,2.34
Email,2.71
Influencer,7.04
Email,5.93
Influencer,7.79
Display,8.00
Social Media,4.37
Display,2.15
Email,5.84
Display,7.52
Social Media,7.00
Display,4.55
Email,6.76
Display,7.53
Display,7.81
Influencer,7.65
Social Media,3.08
Influencer,4.54
Influencer,3.05
Email,6.54
Search,4.87
Influencer,6.36
Display,5.50
Email,7.18
Display,2.02
Influencer,6.23
Search,5.35
Influencer,6.66
Influencer,2.55
Social Media,2.26
Email,2.85
Search,2.62
Display,3.96
Influencer,4.66
Social Media,5.74
Email,6.60
Email,7.32
Influencer,7.36
Display,7.17
Search,2.26
Email,2.47
Email,7.31
Influencer,2.21
Search,3.46
Influencer,5.85
Social Media,5.95
Social Media,3.77
Email,2.84
Display,2.85
Email,4.00
Social Media,6.78
Display,2.95
Email,2.25
Influencer,4.08
Email,2.73
Social Media,4.52
Search,3.46
Influencer,2.97
Display,2.46
Social Media,2.63
Display,2.52
Social Media,7.60
Influencer,3.12
Display,3.48
Email,5.18
Display,5.75
Email,7.82
Email,5.29
Search,4.32
Email,3.37
Display,7.05
Social Media,4.37
Social Media,4.95
Display,5.34
Social Media,5.95
Display,2.20
Influencer,7.57
Search,4.75
Search,5.66
Social Media,3.25
Display,6.24
Display,5.19
Email,6.73
Search,3.29
Search,7.13
Social Media,5.25
Social Media,3.75
Social Media,4.80
Social Media,6.51
Search,7.57
Email,3.04
Social Media,7.96
Search,2.25
Search,2.10
Email,2.66
Email,3.45
Social Media,7.87
Social Media,2.54
Social Media,4.03
Email,5.43
Search,3.36
Search,4.56
Email,7.88
Social Media,5.29
Social Media,7.95
Search,4.66
Display,2.85
Email,5.90
Influencer,2.98
Display,6.54
Social Media,3.74
Email,7.82
Search,3.49
Search,3.24
Search,5.42
Email,2.66
Search,6.62
Display,2.75
Social Media,2.20
Search,3.62
Search,2.48
Email,5.56
Influencer,5.35
Influencer,2.29
Social Media,2.15
Influencer,7.11
Social Media,3.34
Social Media,6.09
Social Media,2.26
Influencer,5.92
Social Media,2.24
Display,6.25
Social Media,3.72
Search,4.82
Search,5.41
Social Media,6.21
Social Media,6.52
Display,3.50
Search,6.21
Display,3.76
Social Media,4.80
Search,2.45
Email,2.16
Email,5.70
Display,5.16
Email,2.35
Search,6.70
Email,4.08
Email,5.24
Search,6.15
Social Media,2.49
Search,4.26
Influencer,5.75
Display,4.53
Search,4.98
Social Media,5.10
Social Media,2.19
Influencer,6.63
Social Media,5.74
Email,5.91
Influencer,7.40
Display,4.31
Influencer,2.98
Social Media,7.41
Influencer,7.39
Display,4.68
Display,6.75
Display,6.63
Email,4.37
Email,7.03
Display,5.36
Influencer,7.91
Search,4.18
Social Media,7.27
Email,7.62
Display,3.70
Social Media,6.16
Influencer,4.83
Social Media,2.36
Email,4.64
Display,2.70
Social Media,3.38
Display,3.50
Display,6.23
Email,4.93
Search,5.53
Display,6.81
Search,5.10
Search,5.88
Social Media,2.21
Search,3.09
Influencer,3.21
Display,4.25
Email,6.82
Influencer,3.88
Social Media,5.89
Influencer,4.06
Influencer,2.97
Display,5.96
Social Media,7.95
Social Media,3.06
Search,2.99
Social Media,2.60
Email,2.42
Display,2.84
Influencer,5.98
Display,5.87
Email,3.51
Display,5.20
Search,2.78
Social Media,7.37
Influencer,7.63
Social Media,7.91
Email,7.50
Influencer,7.49
Search,7.48
Influencer,3.45
Email,6.33
Social Media,6.17
Display,5.83
Display,3.70
Influencer,6.96
Search,6.44
Search,5.47
Social Media,2.48
Display,5.11
Email,5.11
Email,6.77
Social Media,4.92
Influencer,4.67
Influencer,5.88
Social Media,4.34
Social Media,2.05
Social Media,7.52
Social Media,4.38
Search,2.15
Search,3.39
Influencer,7.31
Search,4.42
Search,4.42
Display,3.99
Influencer,6.65
Social Media,4.17
Search,7.93
Email,4.90
Social Media,7.48
Display,4.63
Social Media,6.37
Display,6.36
Email,4.73
Social Media,2.13
Search,2.54
Influencer,3.86
Display,6.21
Display,6.13
Email,2.52
Search,4.70
Social Media,2.34
Display,6.83
Display,5.30
Email,2.45
Search,2.74
Display,7.41
Email,4.77
Search,6.65
Influencer,4.97
Influencer,5.10
Influencer,6.36
Email,3.68
Influencer,7.86
Search,2.93
Email,3.62
Influencer,6.51
Email,5.94
Email,2.09
Email,6.79
Search,5.54
Social Media,4.74
Influencer,5.41
Search,3.79
Email,6.43
Display,6.12
Email,2.10
Display,7.44
Search,2.53
Search,2.09
Search,7.82
Display,2.55
Search,5.09
Social Media,7.55
Social Media,2.59
